Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,docs\Diagram-Demo\Diagram-Demo.csproj,File,docs\Diagram-Demo\App.razor.vqi0RoAtb3OH2l1c.ide.g.cs,98,12,P:Microsoft.AspNetCore.Components.Routing.Router.PreferExactMatches,,,,,"__builder.AddComponentParameter(2, nameof(global::Microsoft.AspNetCore.Components.Routing.Router.  #nullable restore  #line (1,49)-(1,67) ""C:\Users\robin\source\repos\Blazor.Diagrams\docs\Diagram-Demo\App.razor""  PreferExactMatches    #line default  #line hidden  #nullable disable              ), global::Microsoft.AspNetCore.Components.CompilerServices.RuntimeHelpers.TypeCheck<global::System.Boolean>(  #nullable restore  #line (1,70)-(1,74) ""C:\Users\robin\source\repos\Blazor.Diagrams\docs\Diagram-Demo\App.razor""  true    #line default  #line hidden  #nullable disable              ));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,docs\Diagram-Demo\Diagram-Demo.csproj,File,docs\Diagram-Demo\Startup.cs,34,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,docs\Layouts\Layouts.csproj,File,docs\Layouts\Layouts.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,docs\Layouts\Layouts.csproj,File,docs\Layouts\App.razor.9YEctXsdXBtlVPDX.ide.g.cs,104,12,P:Microsoft.AspNetCore.Components.Routing.Router.PreferExactMatches,,,,,"__builder.AddComponentParameter(2, nameof(global::Microsoft.AspNetCore.Components.Routing.Router.  #nullable restore  #line (1,49)-(1,67) ""C:\Users\robin\source\repos\Blazor.Diagrams\docs\Layouts\App.razor""  PreferExactMatches    #line default  #line hidden  #nullable disable              ), global::Microsoft.AspNetCore.Components.CompilerServices.RuntimeHelpers.TypeCheck<global::System.Boolean>(  #nullable restore  #line (1,70)-(1,74) ""C:\Users\robin\source\repos\Blazor.Diagrams\docs\Layouts\App.razor""  true    #line default  #line hidden  #nullable disable              ));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,docs\Layouts\Layouts.csproj,File,docs\Layouts\Startup.cs,38,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\ServerSide\ServerSide.csproj,File,samples\ServerSide\ServerSide.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,samples\ServerSide\ServerSide.csproj,File,samples\ServerSide\Startup.cs,33,12,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\SharedDemo\SharedDemo.csproj,File,samples\SharedDemo\SharedDemo.csproj,,,Microsoft.AspNetCore.Components 9,,,,,"Microsoft.AspNetCore.Components, 9  Recommendation:  Remove Microsoft.AspNetCore.Components, and replace with new package Microsoft.AspNetCore.Components 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,samples\SharedDemo\SharedDemo.csproj,File,samples\SharedDemo\SharedDemo.csproj,,,Microsoft.AspNetCore.Components.Web 9,,,,,"Microsoft.AspNetCore.Components.Web, 9  Recommendation:  Remove Microsoft.AspNetCore.Components.Web, and replace with new package Microsoft.AspNetCore.Components.Web 10.0.2"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,samples\SharedDemo\SharedDemo.csproj,File,samples\SharedDemo\SharedDemo.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
